chi,chi_nircam,chi_miri,chi_reduced,chi_reduced_full,offset,offset_reduced_full,run
3.163885,2.281698,6.104509,7.107225,3.194635,83,83,338
2.972,2.176328,5.624239,6.408331,2.976978,85,85,339
2.477331,1.886122,4.44803,4.796379,2.436711,86,86,340
2.32941,1.62127,4.68988,5.23883,2.305673,82,82,341
3.179466,2.290762,6.141811,7.139908,3.208168,84,84,342
2.990686,2.19053,5.657876,6.437626,2.994034,85,85,343
2.503529,1.914014,4.468577,4.817211,2.463268,86,86,344
1.621139,0.84753,4.199835,5.186586,1.668432,59,59,345
1.580636,0.766768,4.293531,5.309283,1.626163,57,57,346
1.595815,0.729532,4.483426,5.556061,1.642659,55,55,347
1.638153,0.708991,4.735359,5.879951,1.68728,54,54,348
1.707037,0.694062,5.083622,6.325774,1.759521,53,53,349
1.832,0.678965,5.675449,7.082055,1.89036,53,53,350
2.106242,0.765754,6.574533,8.186855,2.169746,55,55,351
2.153122,0.828159,6.569664,8.166702,2.216532,56,56,352
1.685928,0.856327,4.451264,5.519948,1.738634,60,60,353
1.64542,0.769754,4.564304,5.666065,1.696083,58,58,354
1.664017,0.730318,4.776348,5.938166,1.715586,57,57,355
1.702975,0.708588,5.017598,6.244772,1.755974,56,56,356
1.759183,0.692795,5.313811,6.619672,1.814096,55,55,357
1.864201,0.678617,5.816146,7.25685,1.923148,55,55,358
2.122378,0.796801,6.540971,8.197449,2.196923,57,57,359
2.172326,0.867029,6.523318,8.176591,2.249919,58,58,360
1.777207,0.928452,4.606389,5.714334,1.833889,67,67,361
1.683991,0.78035,4.696126,5.827956,1.735302,64,64,362
1.670398,0.722505,4.830039,5.996659,1.720318,62,62,363
1.680434,0.6965,4.960214,6.159743,1.730086,61,61,364
1.701383,0.680731,5.10356,6.338213,1.751065,61,61,365
1.750105,0.668923,5.354046,6.650613,1.800594,60,60,366
2.013129,0.797932,6.063787,7.573413,2.07978,60,60,367
2.08792,0.879103,6.11731,7.646147,2.159355,61,61,368
1.548902,1.049695,3.212928,3.824773,1.57471,68,68,369
1.372988,0.830069,3.18272,3.779548,1.388078,63,63,370
1.292912,0.774947,3.019463,3.548096,1.299597,59,59,371
1.221682,0.753675,2.781705,3.213746,1.219094,57,57,372
1.128129,0.740686,2.419609,2.711086,1.113464,54,54,373
0.870574,0.726494,1.350841,1.319157,0.838619,45,45,374
1.53283,0.753701,4.129925,5.19575,1.594089,49,49,375
1.630849,0.835479,4.282083,5.401793,1.699376,50,50,376
1.305089,1.226084,1.568442,0.826267,1.150443,72,72,377
1.486648,1.511076,1.405222,0.796334,1.375855,51,51,378
1.414838,1.487425,1.172881,0.745267,1.347017,46,46,379
1.226084,1.245359,1.161832,0.728523,1.147579,37,37,381
0.954236,0.795576,1.483104,0.749087,0.786781,40,40,382
1.340091,1.428051,1.046891,0.654709,1.281743,93,93,383
1.270473,1.335613,1.053338,0.680709,1.211712,92,92,384
1.24995,1.093102,1.772777,1.058734,1.0866,90,90,385
0.978526,0.872253,1.33277,0.734062,0.846109,86,86,386
1.285724,1.135929,1.785041,1.059144,1.121402,91,91,387
0.986949,0.893131,1.299675,0.703017,0.857164,86,86,388
1.303811,1.153154,1.805999,1.059225,1.135384,91,91,389
0.983449,0.904552,1.246441,0.654157,0.85718,86,86,390
1.309182,1.155783,1.820515,1.056156,1.136934,92,92,391
0.976787,0.90818,1.205479,0.616732,0.853041,86,86,392
1.307616,1.152176,1.825748,1.047504,1.132373,92,92,393
0.970281,0.909416,1.173167,0.587145,0.848445,86,86,394
1.295645,1.136978,1.824535,1.031511,1.117025,92,92,395
0.958742,0.904674,1.138969,0.555558,0.838625,85,85,396
1.171545,1.005863,1.723816,0.945625,0.994467,91,91,397
0.912115,0.866094,1.065518,0.506932,0.798145,83,83,398
1.127635,0.973289,1.642122,0.883367,0.956277,90,90,399
0.903614,0.862063,1.042116,0.495238,0.792664,83,83,400
1.157849,0.960979,1.814082,1.073,0.982172,91,91,401
0.943023,0.823273,1.342189,0.723757,0.804445,87,87,402
1.159947,0.966405,1.805087,1.0579,0.983715,91,91,403
0.935857,0.825745,1.3029,0.68783,0.799653,87,87,404
1.155491,0.966639,1.784996,1.030784,0.978775,92,92,405
0.926744,0.828157,1.255368,0.6466,0.793808,86,86,406
1.147897,0.963309,1.76319,1.00591,0.971369,92,92,407
0.919739,0.82841,1.224167,0.621169,0.789203,86,86,408
1.1397,0.958955,1.742183,0.983867,0.963668,92,92,409
0.914208,0.828078,1.20131,0.60336,0.785563,86,86,410
1.126643,0.949605,1.71677,0.958785,0.951342,92,92,411
0.906229,0.824824,1.177581,0.585827,0.779608,86,86,412
1.044409,0.887587,1.567149,0.846737,0.879859,90,90,413
0.874372,0.806264,1.101401,0.54571,0.75697,84,84,414
1.016621,0.872097,1.49837,0.799611,0.858383,89,89,415
0.869106,0.8052,1.082127,0.539761,0.754982,84,84,416
1.223361,0.950547,2.132742,1.329618,1.022263,94,94,417
1.020852,0.868823,1.527616,0.860673,0.867281,89,89,418
1.213106,0.949337,2.092337,1.291663,1.014101,94,94,419
1.012764,0.869261,1.491108,0.829538,0.861746,89,89,420
1.198887,0.947999,2.035182,1.240835,1.0034,94,94,421
1.001705,0.869198,1.443393,0.792754,0.854736,88,88,422
1.188629,0.946946,1.994241,1.206092,0.995973,94,94,423
0.994556,0.869153,1.412566,0.771364,0.850652,88,88,424
1.180411,0.945866,1.962229,1.179821,0.990128,94,94,425
0.989466,0.869202,1.390348,0.757064,0.847986,88,88,426
1.169645,0.942992,1.925151,1.150389,0.98223,93,93,427
0.98364,0.868895,1.366123,0.742546,0.844991,88,88,428
1.109818,0.922357,1.734686,1.010998,0.939127,92,92,429
0.955065,0.860191,1.271314,0.696616,0.829244,86,86,430
1.085889,0.91456,1.656988,0.956912,0.922572,91,91,431
0.948258,0.858445,1.247633,0.689308,0.826446,86,86,432
1.365572,1.095212,2.266772,1.428451,1.158257,96,96,433
1.252664,1.093212,1.784169,1.02356,1.080035,92,92,434
1.363323,1.09703,2.250963,1.414844,1.157157,96,96,435
1.251713,1.095094,1.773777,1.016494,1.080224,92,92,436
1.358391,1.099352,2.221852,1.390601,1.154454,96,96,437
1.248287,1.097074,1.752332,1.00214,1.079113,92,92,438
1.354385,1.101098,2.198678,1.372737,1.152489,96,96,439
1.245548,1.098501,1.735705,0.992366,1.078421,92,92,440
1.350916,1.102422,2.179231,1.358481,1.150866,96,96,441
1.243436,1.099616,1.722833,0.985743,1.078073,92,92,442
1.346555,1.103722,2.155997,1.342392,1.148876,96,96,443
1.240996,1.100769,1.708418,0.979523,1.07783,91,91,444
1.311797,1.1024,2.009786,1.243558,1.129106,94,94,445
