H,N,C,O,P,S,Si,Ti,H+N,C+O,S+P,Si+Ti,H/N,C/O,S/P,Si/Ti,comp_number
9.99E-09,0.99899,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,0.001,100,78
9.99E-09,0.99899,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,1,10,79
9.99E-09,0.99899,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,1,100,80
9.99E-09,0.99899,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,10,10,81
9.99E-09,0.99899,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,10,100,82
9.99E-09,0.99899,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,100,10,83
9.99E-09,0.99899,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,100,100,84
0.69992,7.00E-05,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,0.001,10,85
0.69992,7.00E-05,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,0.001,100,86
0.69992,7.00E-05,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,1,10,87
0.69992,7.00E-05,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,1,100,88
0.69992,7.00E-05,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,10,10,89
0.69992,7.00E-05,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,10,100,90
0.69992,7.00E-05,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,100,10,91
0.69992,7.00E-05,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.0001,0.001,100,100,92
0.693059,0.006931,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,0.001,10,93
0.693059,0.006931,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,0.001,100,94
0.693059,0.006931,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,1,10,95
0.693059,0.006931,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,1,100,96
0.693059,0.006931,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,10,10,97
0.693059,0.006931,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,10,100,98
0.693059,0.006931,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,100,10,99
0.693059,0.006931,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,0.01,0.001,100,100,100
0.349995,0.349995,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,0.001,10,101
